BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,ecrsCapacity,ecrsPrice_$perMW,ecrsRev_$,rrsCapacity,rrsPrice_$perMW,rrsRev_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,CapacityObligation
-0.00,0.10,19.96,-0.02,0.00,3.03,0.00,0.00,1.50,0.00,0.00,2.60,0.00,0.05,2.00,0.08,0.05,2.00,0.10,0.00
-0.00,0.10,18.60,-0.00,0.00,2.00,0.00,0.00,1.30,0.00,0.00,1.00,0.00,0.05,1.98,0.09,0.05,1.98,0.10,0.00
0.00,0.10,18.17,0.00,0.00,1.94,0.00,0.00,1.30,0.00,0.00,1.11,0.00,0.05,1.98,0.09,0.05,1.98,0.10,0.00
-0.49,0.10,15.39,-7.48,0.00,1.38,0.00,0.00,1.30,0.00,0.00,1.00,0.00,0.05,1.88,0.09,0.05,1.78,0.09,0.00
-0.00,1.00,14.75,-0.07,0.00,1.05,0.00,0.45,1.05,0.43,0.00,1.00,0.00,0.05,1.98,0.09,0.05,1.57,0.08,0.00
-0.00,1.00,14.07,-0.07,0.00,1.19,0.00,0.45,1.12,0.46,0.00,1.12,0.00,0.05,1.70,0.08,0.05,2.00,0.10,0.00
-0.00,1.00,14.47,-0.07,0.00,1.01,0.00,0.45,1.01,0.42,0.00,1.11,0.00,0.05,2.25,0.10,0.05,2.29,0.11,0.00
-0.00,1.00,19.49,-0.10,0.00,1.50,0.00,0.45,1.50,0.62,0.00,1.23,0.00,0.05,3.85,0.18,0.05,2.00,0.10,0.00
0.00,1.00,36.81,0.00,0.00,8.81,0.00,0.45,5.00,2.06,0.00,4.60,0.00,0.05,9.30,0.43,0.05,2.79,0.14,0.00
0.00,0.99,34.79,0.00,0.00,3.09,0.00,0.44,2.00,0.82,0.00,3.09,0.00,0.05,2.33,0.11,0.05,1.92,0.10,0.00
0.00,0.98,37.13,0.00,0.00,2.00,0.00,0.44,1.50,0.61,0.00,3.02,0.00,0.05,1.83,0.08,0.05,1.39,0.07,0.00
