BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,ecrsCapacity,ecrsPrice_$perMW,ecrsRev_$,rrsCapacity,rrsPrice_$perMW,rrsRev_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,CapacityObligation
0.00,0.10,33.47,0.00,0.00,12.42,0.00,0.00,4.00,0.00,0.00,6.56,0.00,0.05,2.00,0.09,0.05,4.65,0.23,0.00
-0.00,0.10,19.96,-0.00,0.00,3.03,0.00,0.00,1.50,0.00,0.00,2.60,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.00,0.10,18.60,-0.00,0.00,2.00,0.00,0.00,1.30,0.00,0.00,1.00,0.00,0.05,1.98,0.09,0.05,1.98,0.10,0.00
0.00,0.10,18.17,0.00,0.00,1.94,0.00,0.00,1.30,0.00,0.00,1.11,0.00,0.05,1.98,0.09,0.05,1.98,0.10,0.00
-0.54,0.10,15.39,-8.32,0.00,1.38,0.00,0.00,1.30,0.00,0.00,1.00,0.00,0.05,1.88,0.09,0.05,1.78,0.09,0.00
-0.01,0.60,14.75,-0.08,0.00,1.05,0.00,0.50,1.05,0.48,0.00,1.00,0.00,0.05,1.98,0.09,0.05,1.57,0.08,0.00
-0.44,0.60,14.07,-6.15,0.00,1.19,0.00,0.50,1.12,0.51,0.00,1.12,0.00,0.05,1.70,0.08,0.05,2.00,0.10,0.00
-0.01,1.00,14.47,-0.14,0.20,1.01,0.19,0.50,1.01,0.46,0.00,1.11,0.00,0.05,2.25,0.10,0.05,2.29,0.11,0.00
-0.01,1.00,19.49,-0.19,0.20,1.50,0.28,0.50,1.50,0.69,0.00,1.23,0.00,0.05,3.85,0.18,0.05,2.00,0.10,0.00
0.00,1.00,36.81,0.00,0.20,8.81,1.62,0.50,5.00,2.30,0.00,4.60,0.00,0.05,9.30,0.43,0.05,2.79,0.14,0.00
0.00,0.99,34.79,0.00,0.19,3.09,0.55,0.50,2.00,0.92,0.00,3.09,0.00,0.05,2.33,0.11,0.05,1.92,0.10,0.00
0.00,0.98,37.13,0.00,0.19,2.00,0.35,0.50,1.50,0.69,0.00,3.02,0.00,0.05,1.83,0.08,0.05,1.39,0.07,0.00
0.35,0.97,36.83,11.95,0.27,1.96,0.50,0.32,1.01,0.30,0.00,3.60,0.00,0.05,1.25,0.06,0.05,1.54,0.08,0.00
0.00,0.61,30.84,0.00,0.01,2.00,0.01,0.50,1.01,0.46,0.00,2.60,0.00,0.05,1.34,0.06,0.05,1.57,0.08,0.00
0.00,0.61,29.88,0.00,0.00,1.00,0.00,0.50,1.00,0.46,0.00,0.96,0.00,0.05,1.47,0.07,0.05,2.00,0.10,0.00
0.00,0.60,27.43,0.00,0.00,1.00,0.00,0.50,1.00,0.46,0.00,0.92,0.00,0.05,1.51,0.07,0.05,1.53,0.08,0.00
0.00,0.60,33.24,0.00,0.00,1.00,0.00,0.49,1.00,0.46,0.00,0.92,0.00,0.05,1.49,0.07,0.05,1.25,0.06,0.00
0.01,0.59,32.53,0.21,0.00,1.00,0.00,0.49,1.00,0.45,0.00,0.92,0.00,0.05,1.47,0.07,0.05,1.25,0.06,0.00
0.47,0.58,31.90,13.85,0.00,1.00,0.00,0.48,1.00,0.44,0.00,1.23,0.00,0.05,1.50,0.07,0.05,1.25,0.06,0.00
0.00,0.10,26.55,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.11,0.00,0.05,1.50,0.07,0.05,1.48,0.07,0.00
0.00,0.10,27.18,0.00,0.00,1.01,0.00,0.00,1.01,0.00,0.00,1.15,0.00,0.05,2.00,0.09,0.05,1.48,0.07,0.00
0.00,0.10,25.11,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.25,0.00,0.05,2.89,0.13,0.05,2.00,0.10,0.00
0.00,0.10,22.45,0.00,0.00,2.86,0.00,0.00,1.86,0.00,0.00,2.72,0.00,0.05,2.99,0.14,0.05,2.64,0.13,0.00
0.00,0.10,21.71,0.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,2.72,0.00,0.05,2.33,0.11,0.05,2.49,0.12,0.00
0.00,0.10,18.60,0.00,0.00,7.46,0.00,0.00,2.00,0.00,0.00,2.25,0.00,0.05,2.33,0.11,0.05,5.41,0.27,0.00
0.00,0.10,14.51,0.00,0.00,6.80,0.00,0.00,2.00,0.00,0.00,2.25,0.00,0.05,3.80,0.17,0.05,2.50,0.12,0.00
0.00,0.10,10.14,0.00,0.00,2.60,0.00,0.00,1.60,0.00,0.00,1.23,0.00,0.05,2.45,0.11,0.05,2.36,0.12,0.00
-0.00,0.10,4.87,-0.00,0.00,2.00,0.00,0.00,1.50,0.00,0.00,1.17,0.00,0.05,2.00,0.09,0.05,1.98,0.10,0.00
-0.00,0.10,1.98,-0.00,0.00,1.96,0.00,0.00,1.50,0.00,0.00,1.17,0.00,0.05,2.51,0.12,0.05,1.98,0.10,0.00
-0.95,0.10,-0.07,0.07,0.00,1.50,0.00,0.00,1.50,0.00,0.00,1.17,0.00,0.05,2.89,0.13,0.05,1.57,0.08,0.00
-0.03,0.98,-0.63,0.02,0.19,1.95,0.34,0.50,1.50,0.69,0.00,1.23,0.00,0.05,2.01,0.09,0.05,1.57,0.08,0.00
-0.01,1.00,0.10,-0.00,0.20,1.30,0.24,0.50,1.30,0.60,0.00,1.23,0.00,0.05,2.98,0.14,0.05,1.98,0.10,0.00
