BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
-0.02,0.99,17.07,-0.33,0.00,0.00,0.00,0.25,3.43,0.79,0.25,1.85,0.46,0.09,0.70,0.06,0.50,3.23,1.49,0.00
-0.01,1.00,17.52,-0.17,0.00,0.00,0.00,0.25,4.00,0.92,0.25,2.00,0.50,0.10,0.50,0.04,0.50,3.80,1.75,0.00
-0.01,1.00,20.41,-0.20,0.00,0.00,0.00,0.25,9.67,2.23,0.25,2.89,0.72,0.10,0.74,0.06,0.50,8.67,4.00,0.00
0.17,1.00,35.89,5.47,0.00,0.00,0.00,0.25,28.45,6.56,0.25,3.50,0.88,0.08,6.08,0.47,0.50,22.12,10.20,0.00
0.20,0.83,31.31,5.73,0.00,0.00,0.00,0.25,13.72,3.16,0.25,10.00,2.50,0.05,3.85,0.18,0.50,16.55,7.63,0.00
-0.01,0.62,20.32,-0.15,0.00,0.00,0.00,0.25,8.21,1.89,0.25,10.00,2.50,0.00,3.55,0.00,0.50,8.90,4.10,0.00
-0.01,0.62,19.80,-0.15,0.00,0.00,0.00,0.25,7.86,1.81,0.25,10.00,2.50,0.00,2.15,0.00,0.50,8.35,3.85,0.00
-0.01,0.62,18.92,-0.14,0.00,0.00,0.00,0.25,8.23,1.90,0.25,17.96,4.49,0.00,0.95,0.00,0.50,8.96,4.13,0.00
-0.02,0.62,16.84,-0.25,0.00,0.00,0.00,0.25,5.91,1.36,0.25,10.00,2.50,0.00,0.95,0.00,0.50,6.44,2.97,0.00
0.00,0.63,16.82,0.00,0.00,0.00,0.00,0.25,4.58,1.06,0.25,10.00,2.50,0.00,0.95,0.00,0.50,6.85,3.16,0.00
-0.01,0.62,16.36,-0.12,0.00,0.00,0.00,0.25,5.37,1.24,0.25,10.00,2.50,0.00,0.95,0.00,0.50,6.85,3.16,0.00
-0.01,0.62,15.81,-0.12,0.00,0.00,0.00,0.25,6.74,1.55,0.25,10.00,2.50,0.00,0.95,0.00,0.50,6.85,3.16,0.00
-0.42,0.62,15.49,-6.51,0.00,0.00,0.00,0.25,10.00,2.30,0.25,10.00,2.50,0.00,0.95,0.00,0.50,9.85,4.54,0.00
-0.01,1.00,17.42,-0.17,0.00,0.00,0.00,0.25,10.15,2.34,0.25,5.04,1.26,0.10,0.95,0.08,0.50,9.95,4.59,0.00
0.25,1.00,25.64,5.91,0.00,0.00,0.00,0.25,27.27,6.29,0.25,12.35,3.09,0.00,0.97,0.00,0.50,24.27,11.19,0.00
0.00,0.74,20.02,0.00,0.00,0.00,0.00,0.25,11.48,2.65,0.25,10.35,2.59,0.03,5.00,0.14,0.50,13.85,6.38,0.00
0.00,0.74,18.90,0.00,0.00,0.00,0.00,0.25,8.00,1.84,0.25,6.00,1.50,0.03,4.55,0.12,0.50,12.00,5.53,0.00
0.09,0.73,18.90,1.64,0.00,0.00,0.00,0.25,6.37,1.47,0.25,6.00,1.50,0.03,3.55,0.09,0.50,11.96,5.51,0.00
0.00,0.63,17.38,0.00,0.00,0.00,0.00,0.25,5.73,1.32,0.25,10.14,2.54,0.00,4.31,0.01,0.50,13.85,6.38,0.00
0.24,0.62,16.49,3.70,0.00,0.00,0.00,0.25,3.35,0.77,0.25,45.00,11.25,0.00,0.71,0.00,0.50,15.00,6.91,0.00
0.00,0.37,11.46,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.25,45.00,11.25,0.00,0.72,0.00,0.50,15.00,6.91,0.00
-0.23,0.39,6.58,-1.54,0.00,0.00,0.00,0.02,4.00,0.07,0.25,11.97,2.99,0.00,0.48,0.00,0.50,15.00,6.91,0.00
-0.42,0.62,5.77,-2.42,0.00,0.00,0.00,0.25,4.00,0.92,0.25,10.37,2.59,0.00,0.48,0.00,0.50,15.00,6.91,0.00
-0.01,1.00,5.68,-0.05,0.00,0.00,0.00,0.25,4.00,0.92,0.25,8.00,2.00,0.10,0.48,0.04,0.50,15.00,6.91,0.00
-0.01,1.00,6.63,-0.06,0.00,0.00,0.00,0.25,4.23,0.97,0.25,8.00,2.00,0.10,0.48,0.04,0.50,15.00,6.91,0.00
-0.01,1.00,7.33,-0.07,0.00,0.00,0.00,0.25,9.35,2.16,0.25,9.36,2.34,0.10,0.48,0.04,0.50,15.00,6.91,0.00
-0.01,1.00,11.82,-0.11,0.00,0.00,0.00,0.25,120.00,27.66,0.25,23.93,5.98,0.10,0.48,0.04,0.50,17.00,7.84,0.00
0.15,1.00,18.41,2.52,0.00,0.00,0.00,0.25,22.85,5.27,0.25,8.00,2.00,0.10,1.01,0.09,0.50,11.35,5.23,0.00
0.19,0.84,18.51,3.31,0.00,0.00,0.00,0.25,8.00,1.84,0.25,8.00,2.00,0.06,1.99,0.10,0.50,8.35,3.85,0.00
0.00,0.64,17.70,0.00,0.00,0.00,0.00,0.25,5.44,1.25,0.25,23.25,5.81,0.01,1.01,0.00,0.50,5.69,2.62,0.00
0.00,0.63,17.43,0.00,0.00,0.00,0.00,0.25,6.85,1.58,0.25,21.33,5.33,0.00,1.23,0.00,0.50,8.66,3.99,0.00
0.00,0.63,16.53,0.00,0.00,0.00,0.00,0.25,8.27,1.91,0.25,59.00,14.75,0.00,0.90,0.00,0.50,20.00,9.22,0.00
-0.42,0.62,13.96,-5.87,0.00,0.00,0.00,0.25,6.10,1.41,0.25,15.00,3.75,0.00,0.85,0.00,0.50,6.00,2.77,0.00
-0.01,1.00,13.99,-0.13,0.00,0.00,0.00,0.25,10.00,2.30,0.25,9.46,2.37,0.10,0.85,0.07,0.50,12.00,5.53,0.00
0.00,1.00,14.55,0.00,0.00,0.00,0.00,0.25,10.00,2.30,0.25,8.46,2.12,0.10,0.85,0.07,0.50,12.00,5.53,0.00
0.00,0.99,14.10,0.00,0.00,0.00,0.00,0.25,10.00,2.30,0.25,15.00,3.75,0.09,0.75,0.06,0.50,12.00,5.53,0.00
-0.03,0.98,13.66,-0.39,0.00,0.00,0.00,0.25,10.15,2.34,0.25,8.00,2.00,0.09,0.75,0.06,0.50,12.00,5.53,0.00
-0.01,1.00,17.87,-0.17,0.00,0.00,0.00,0.25,12.66,2.92,0.25,3.50,0.88,0.10,0.75,0.07,0.50,12.61,5.81,0.00
0.15,1.00,27.88,3.98,0.00,0.00,0.00,0.25,24.95,5.75,0.25,6.15,1.54,0.10,0.75,0.07,0.50,22.26,10.26,0.00
0.20,0.84,28.27,5.10,0.00,0.00,0.00,0.25,16.81,3.87,0.25,13.81,3.45,0.05,1.99,0.10,0.50,17.30,7.97,0.00
-0.00,0.63,22.95,-0.03,0.00,0.00,0.00,0.25,10.85,2.50,0.25,6.11,1.53,0.00,1.99,0.01,0.50,15.00,6.91,0.00
0.00,0.63,24.74,0.00,0.00,0.00,0.00,0.25,10.11,2.33,0.25,7.31,1.83,0.00,1.99,0.00,0.50,13.85,6.38,0.00
0.14,0.62,21.84,2.80,0.00,0.00,0.00,0.25,6.14,1.42,0.25,6.00,1.50,0.00,1.55,0.00,0.50,13.44,6.20,0.00
0.00,0.47,17.41,0.00,0.00,0.00,0.00,0.10,3.70,0.36,0.25,8.00,2.00,0.00,0.50,0.00,0.50,9.85,4.54,0.00
0.39,0.48,17.70,6.33,0.00,0.00,0.00,0.11,3.00,0.31,0.25,8.32,2.08,0.00,0.50,0.00,0.50,12.61,5.81,0.00
-0.54,0.10,9.30,-5.03,0.00,0.00,0.00,0.00,2.30,0.00,0.25,8.00,2.00,0.00,0.49,0.00,0.23,5.35,1.14,0.00
-0.42,0.62,7.84,-3.29,0.00,0.00,0.00,0.25,3.51,0.81,0.25,7.65,1.91,0.00,0.50,0.00,0.50,5.35,2.47,0.00
-0.01,1.00,8.71,-0.08,0.00,0.00,0.00,0.25,4.00,0.92,0.25,6.00,1.50,0.10,0.49,0.04,0.50,5.35,2.47,0.00
-0.01,1.00,11.65,-0.11,0.00,0.00,0.00,0.25,4.00,0.92,0.25,6.00,1.50,0.10,0.49,0.04,0.50,5.35,2.47,0.00
-0.01,1.00,15.38,-0.15,0.00,0.00,0.00,0.25,4.84,1.12,0.25,4.70,1.18,0.10,0.49,0.04,0.50,5.35,2.47,0.00
-0.01,1.00,18.95,-0.18,0.00,0.00,0.00,0.25,25.00,5.76,0.25,5.82,1.46,0.10,0.61,0.05,0.50,9.13,4.21,0.00
0.15,1.00,25.97,3.71,0.00,0.00,0.00,0.25,17.95,4.14,0.25,8.00,2.00,0.10,1.00,0.09,0.50,17.35,8.00,0.00
0.20,0.84,26.83,4.99,0.00,0.00,0.00,0.25,13.70,3.16,0.25,8.00,2.00,0.05,1.55,0.07,0.50,14.79,6.82,0.00
0.00,0.63,24.71,0.00,0.00,0.00,0.00,0.25,6.85,1.58,0.25,11.80,2.95,0.00,1.02,0.00,0.50,10.23,4.72,0.00
-0.01,0.62,20.10,-0.15,0.00,0.00,0.00,0.25,6.85,1.58,0.25,22.76,5.69,0.00,1.20,0.00,0.50,8.31,3.83,0.00
-0.01,0.62,19.36,-0.15,0.00,0.00,0.00,0.25,4.73,1.09,0.25,21.41,5.35,0.00,0.95,0.00,0.50,5.48,2.53,0.00
-0.01,0.62,18.08,-0.14,0.00,0.00,0.00,0.25,4.44,1.02,0.25,10.71,2.68,0.00,0.94,0.00,0.50,5.03,2.32,0.00
-0.42,0.62,17.53,-7.37,0.00,0.00,0.00,0.25,3.51,0.81,0.25,8.00,2.00,0.00,0.92,0.00,0.50,4.01,1.85,0.00
-0.01,1.00,17.44,-0.17,0.00,0.00,0.00,0.25,3.48,0.80,0.25,6.00,1.50,0.10,0.94,0.08,0.50,3.85,1.77,0.00
-0.01,1.00,17.34,-0.17,0.00,0.00,0.00,0.25,3.57,0.82,0.25,8.00,2.00,0.10,0.75,0.07,0.50,3.85,1.77,0.00
