BattSchedule_MW,SOC_percent,EnergyPriceDA_AUDperMWh,EnergyProfit_AUD,L1SCapacity,L1SPrice_AUDperMW,L1SRev_AUD,R6SCapacity,R6SPrice_AUDperMW,R6SRev_AUD,R1SCapacity,R1SPrice_AUDperMW,R1SRev_AUD,R60SCapacity,R60SPrice_AUDperMW,R60SRev_AUD,L60SCapacity,L60SPrice_AUDperMW,L60SRev_AUD,RREGCapacity,RREGPrice_AUDperMW,RREGRev_AUD,LREGCapacity,LREGPrice_AUDperMW,LREGRev_AUD,R5MCapacity,R5MPrice_AUDperMW,R5MRev_AUD,L6SCapacity,L6SPrice_AUDperMW,L6SRev_AUD,CapacityObligation
0.00,1.00,-1.10,-0.00,0.00,0.00,0.00,0.31,1.37,0.39,0.00,0.00,0.00,0.00,0.74,0.00,0.50,1.82,0.91,0.50,8.87,4.09,0.50,8.11,4.06,0.19,0.46,0.08,-0.00,0.63,-0.00,0.00
0.00,1.00,15.73,0.00,0.00,0.00,0.00,0.00,1.59,0.00,0.00,0.00,0.00,0.50,1.79,0.83,0.00,0.99,0.00,0.50,9.87,4.55,0.50,4.92,2.46,-0.00,0.56,-0.00,0.50,0.33,0.17,0.00
0.00,0.96,16.44,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,0.00,-0.00,0.69,-0.00,0.09,1.00,0.09,0.50,6.22,2.87,0.50,3.89,1.94,0.50,0.43,0.20,0.41,0.39,0.16,0.00
0.00,0.87,8.61,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.21,1.00,0.21,0.50,5.32,2.45,0.50,3.93,1.97,0.50,0.64,0.29,0.29,0.52,0.15,0.00
0.00,0.79,14.86,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.23,0.78,0.17,-0.00,1.00,-0.00,0.50,8.54,3.94,0.50,3.90,1.95,0.27,0.63,0.16,0.50,0.86,0.43,0.00
0.00,0.72,25.51,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,-0.00,0.76,-0.00,0.41,1.77,0.72,0.50,6.10,2.81,0.50,4.13,2.07,0.50,0.53,0.24,0.09,0.96,0.09,0.00
0.26,0.66,34.37,8.27,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.00,2.26,0.00,0.50,5.11,2.35,0.50,4.46,2.23,0.24,0.41,0.09,0.50,1.30,0.65,0.00
0.00,0.10,-2.39,-0.00,0.00,0.00,0.00,0.07,0.91,0.06,0.00,0.00,0.00,0.43,0.68,0.27,0.50,8.21,4.11,0.50,5.51,2.54,0.50,5.78,2.89,0.00,0.39,0.00,-0.00,2.00,-0.00,0.00
0.00,0.10,-37.81,-0.00,0.00,0.00,0.00,0.50,0.98,0.45,0.00,0.00,0.00,-0.00,0.74,-0.00,0.50,17.37,8.69,0.50,7.55,3.48,0.50,9.68,4.84,0.00,0.39,0.00,0.00,3.29,0.00,0.00
0.00,0.13,-38.00,-0.00,0.00,0.00,0.00,0.50,1.02,0.47,0.00,0.00,0.00,0.00,0.80,0.00,0.50,19.95,9.97,0.50,6.91,3.18,0.50,8.23,4.12,0.00,0.40,0.00,-0.00,4.64,-0.00,0.00
