BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,spinCapacity,spinPrice_$perMW,spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,CapacityObligation
0.44,0.99,106.17,42.94,0.00,0.76,0.00,0.05,6.07,0.30,0.44,0.76,0.31,0.05,0.76,0.03,0.00
0.00,0.10,101.20,0.08,0.00,1.00,0.00,0.05,9.11,0.45,0.00,1.00,0.00,0.05,2.43,0.11,0.00
0.00,0.10,53.96,0.00,0.00,1.00,0.00,0.05,8.03,0.40,0.00,1.00,0.00,0.05,2.07,0.09,0.00
0.00,0.10,42.60,0.00,0.00,0.35,0.00,0.05,7.01,0.35,0.00,0.35,0.00,0.05,1.41,0.06,0.00
0.00,0.10,35.16,0.00,0.00,1.00,0.00,0.05,7.21,0.36,0.00,1.00,0.00,0.05,1.43,0.06,0.00
0.00,0.10,35.78,0.00,0.00,0.54,0.00,0.05,7.51,0.37,0.00,0.54,0.00,0.05,0.87,0.04,0.00
0.00,0.10,32.39,0.00,0.00,0.14,0.00,0.05,8.39,0.42,0.00,0.14,0.00,0.05,0.46,0.02,0.00
-0.49,0.10,30.41,-14.80,0.00,0.14,0.00,0.05,8.22,0.41,0.00,0.14,0.00,0.05,0.34,0.01,0.00
-0.00,1.00,33.09,-0.16,0.00,0.14,0.00,0.05,8.58,0.43,0.45,0.14,0.06,0.05,0.34,0.02,0.00
-0.00,1.00,60.15,-0.30,0.00,0.14,0.00,0.05,10.00,0.50,0.45,0.14,0.06,0.05,0.71,0.03,0.00
0.00,1.00,100.78,0.00,0.00,1.00,0.00,0.05,9.47,0.47,0.45,1.00,0.41,0.05,1.56,0.07,0.00
0.00,0.99,103.56,0.00,0.00,1.86,0.00,0.05,10.00,0.50,0.44,1.86,0.76,0.05,1.90,0.09,0.00
0.00,0.98,103.23,0.00,0.00,1.00,0.00,0.05,7.99,0.40,0.44,1.00,0.40,0.05,2.10,0.10,0.00
0.00,0.97,101.81,0.00,0.00,1.00,0.00,0.05,6.11,0.30,0.44,1.00,0.40,0.05,1.14,0.05,0.00
0.00,0.96,101.17,0.00,0.00,1.00,0.00,0.05,6.09,0.30,0.43,1.00,0.40,0.05,1.00,0.05,0.00
0.42,0.96,100.67,39.06,0.00,1.00,0.00,0.05,6.11,0.30,0.43,1.00,0.39,0.05,1.16,0.05,0.00
0.00,0.10,91.50,0.00,0.00,0.38,0.00,0.05,5.79,0.29,0.00,1.00,0.00,0.05,6.48,0.30,0.00
0.00,0.10,85.14,0.00,0.00,0.35,0.00,0.05,6.11,0.30,0.00,0.35,0.00,0.05,1.50,0.07,0.00
