BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
0.00,1.00,48.36,0.00,0.00,0.15,0.00,0.50,3.00,1.38,0.25,3.00,0.75,0.18,3.00,0.50,0.00
0.00,1.00,47.68,0.00,0.00,0.15,0.00,0.50,2.75,1.27,0.25,3.00,0.75,0.18,2.75,0.46,0.00
0.00,1.00,48.14,0.00,0.00,0.15,0.00,0.50,3.00,1.38,0.25,5.00,1.25,0.18,3.00,0.50,0.00
0.00,1.00,55.82,0.00,0.00,0.15,0.00,0.50,3.08,1.42,0.25,5.99,1.50,0.18,3.08,0.51,0.00
0.00,1.00,77.44,0.00,0.00,0.15,0.00,0.43,8.00,3.18,0.25,4.35,1.09,0.25,8.00,1.84,0.00
0.33,0.99,77.41,23.25,0.00,0.15,0.00,0.42,13.99,5.47,0.25,6.65,1.66,0.25,15.74,3.63,0.00
0.00,0.32,56.36,0.00,0.00,0.15,0.00,0.09,4.00,0.34,0.25,4.68,1.17,0.25,6.04,1.39,0.00
0.00,0.32,47.02,0.00,0.00,0.12,0.00,0.09,2.67,0.22,0.25,4.99,1.25,0.25,3.76,0.87,0.00
0.00,0.31,41.66,0.00,0.00,0.12,0.00,0.09,5.00,0.40,0.25,8.47,2.12,0.25,6.42,1.48,0.00
0.00,0.31,37.63,0.00,0.00,0.12,0.00,0.08,2.46,0.19,0.25,12.26,3.06,0.25,4.00,0.92,0.00
-0.38,0.30,36.32,-13.88,0.00,0.12,0.00,0.08,1.06,0.08,0.25,6.00,1.50,0.25,3.76,0.87,0.00
-0.01,1.00,37.15,-0.25,0.00,0.12,0.00,0.43,1.91,0.76,0.25,5.00,1.25,0.25,3.76,0.87,0.00
-0.01,1.00,41.65,-0.28,0.00,0.12,0.00,0.43,1.00,0.40,0.25,5.00,1.25,0.25,5.00,1.15,0.00
-0.01,1.00,56.82,-0.39,0.00,0.15,0.00,0.43,6.63,2.63,0.25,9.45,2.36,0.25,8.94,2.06,0.00
0.00,1.00,79.54,0.00,0.00,0.20,0.00,0.50,12.00,5.53,0.25,5.80,1.45,0.18,12.00,2.00,0.00
0.00,1.00,90.52,0.00,0.00,1.00,0.00,0.50,22.04,10.16,0.25,9.89,2.47,0.18,22.04,3.67,0.00
0.00,1.00,84.08,0.00,0.00,0.25,0.00,0.50,15.74,7.26,0.25,5.13,1.28,0.18,15.74,2.62,0.00
0.00,1.00,78.52,0.00,0.00,0.25,0.00,0.50,10.11,4.66,0.25,5.00,1.25,0.18,10.11,1.68,0.00
0.00,1.00,75.54,0.00,0.00,0.15,0.00,0.43,7.85,3.11,0.25,5.81,1.45,0.25,7.85,1.81,0.00
0.00,0.99,70.28,0.00,0.00,0.15,0.00,0.42,6.00,2.35,0.25,3.70,0.93,0.25,6.00,1.38,0.00
0.00,0.98,61.97,0.00,0.00,0.15,0.00,0.50,4.23,1.95,0.25,2.96,0.74,0.17,4.23,0.66,0.00
0.00,0.98,55.13,0.00,0.00,0.15,0.00,0.50,3.77,1.74,0.25,3.94,0.99,0.17,3.77,0.59,0.00
-0.02,0.98,47.46,-0.84,0.00,0.15,0.00,0.42,3.00,1.16,0.25,7.18,1.80,0.25,4.00,0.92,0.00
