BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,spinCapacity,spinPrice_$perMW,spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,CapacityObligation
0.00,0.96,66.59,0.00,0.30,0.35,0.10,0.05,7.99,0.40,0.50,0.74,0.34,0.05,0.75,0.03,0.00
0.15,0.95,68.34,9.30,0.30,0.35,0.10,0.05,4.21,0.21,0.50,0.38,0.18,0.05,0.38,0.02,0.00
0.00,0.87,63.77,0.00,0.26,0.35,0.08,0.05,4.24,0.21,0.50,0.35,0.16,0.05,0.35,0.02,0.00
0.00,0.87,60.83,0.00,0.26,0.35,0.08,0.05,4.21,0.21,0.50,0.35,0.16,0.05,0.35,0.02,0.00
0.00,0.86,60.24,0.00,0.26,0.33,0.08,0.05,4.19,0.21,0.50,0.33,0.15,0.05,0.33,0.02,0.00
0.00,0.86,61.79,0.00,0.25,0.35,0.08,0.05,4.66,0.23,0.50,0.35,0.16,0.05,0.35,0.02,0.00
0.50,0.85,68.01,31.31,0.35,0.35,0.11,0.05,5.37,0.27,0.10,0.35,0.03,0.05,0.35,0.02,0.00
1.00,0.60,69.65,64.04,0.00,0.35,0.00,0.05,5.31,0.26,0.00,0.45,0.00,-0.00,0.69,-0.00,0.00
0.00,0.10,62.28,0.00,0.00,0.35,0.00,0.05,8.80,0.44,0.00,1.00,0.00,0.05,3.64,0.17,0.00
0.00,0.10,48.06,0.04,0.00,0.35,0.00,0.05,6.58,0.33,0.00,1.00,0.00,0.05,5.00,0.23,0.00
0.00,0.10,26.26,0.00,0.00,0.35,0.00,0.05,6.51,0.32,0.00,1.00,0.00,0.05,1.50,0.06,0.00
0.00,0.10,20.87,0.00,0.00,0.35,0.00,0.05,7.69,0.38,0.00,0.35,0.00,0.05,1.00,0.04,0.00
-0.06,0.10,17.91,-1.09,0.00,0.35,0.00,0.05,7.39,0.37,0.00,0.35,0.00,0.05,0.55,0.02,0.00
-0.95,0.13,12.80,-12.12,0.00,0.35,0.00,0.05,8.58,0.43,0.06,0.35,0.02,0.05,0.44,0.02,0.00
-0.95,0.57,12.65,-11.99,0.11,0.35,0.03,0.05,8.18,0.41,0.50,0.35,0.16,0.05,0.38,0.02,0.00
-0.01,1.00,18.08,-0.23,0.32,0.35,0.10,0.05,10.00,0.50,0.50,0.35,0.16,0.05,0.40,0.02,0.00
-0.01,1.00,48.10,-0.60,0.32,0.35,0.10,0.05,7.30,0.36,0.50,0.35,0.16,0.05,2.04,0.09,0.00
0.00,1.00,71.99,0.00,0.32,0.37,0.11,0.05,8.30,0.41,0.50,0.41,0.19,0.05,2.95,0.14,0.00
0.00,0.99,75.39,0.00,0.32,0.92,0.27,0.05,6.43,0.32,0.50,0.92,0.42,0.05,2.64,0.12,0.00
0.00,0.99,75.69,0.00,0.32,1.00,0.29,0.05,5.03,0.25,0.50,1.00,0.46,0.05,3.40,0.16,0.00
0.00,0.98,75.81,0.00,0.32,1.00,0.29,0.05,6.11,0.30,0.50,1.00,0.46,0.05,1.50,0.07,0.00
0.00,0.98,75.41,0.00,0.31,0.64,0.18,0.05,6.11,0.30,0.50,0.64,0.29,0.05,1.45,0.07,0.00
0.00,0.97,75.35,0.00,0.31,0.45,0.13,0.05,6.11,0.30,0.50,0.45,0.21,0.05,1.18,0.05,0.00
0.00,0.97,74.25,0.00,0.31,0.35,0.10,0.05,5.73,0.29,0.50,0.35,0.16,0.05,1.50,0.07,0.00
0.00,0.96,73.16,0.00,0.30,0.35,0.10,0.05,7.24,0.36,0.50,1.00,0.46,0.05,1.00,0.05,0.00
0.00,0.95,71.23,0.00,0.00,0.23,0.00,0.05,5.00,0.25,0.50,0.23,0.11,0.05,0.48,0.02,0.00
-0.11,0.95,70.44,-7.72,0.00,0.21,0.00,0.05,4.20,0.21,0.50,0.21,0.10,0.05,0.72,0.03,0.00
-0.00,1.00,70.70,-0.29,0.00,0.14,0.00,0.05,4.18,0.21,0.50,0.14,0.06,0.00,0.14,0.00,0.00
-0.01,1.00,70.71,-0.89,0.32,0.35,0.10,0.05,5.00,0.25,0.50,0.35,0.16,0.05,0.38,0.02,0.00
-0.01,1.00,72.08,-0.90,0.32,0.65,0.19,0.05,5.00,0.25,0.50,0.65,0.30,0.05,0.65,0.03,0.00
0.00,1.00,89.74,0.00,0.32,0.83,0.25,0.05,5.72,0.29,0.50,0.83,0.38,0.05,0.83,0.04,0.00
1.00,0.99,106.17,97.62,0.00,0.76,0.00,0.05,6.07,0.30,0.00,0.76,0.00,-0.00,0.76,-0.00,0.00
