BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
0.00,0.62,32.08,0.00,0.00,0.12,0.00,0.50,1.00,0.46,0.25,12.44,3.11,0.25,4.44,1.02,0.00
-0.43,0.61,30.40,-13.00,0.00,0.12,0.00,0.49,1.37,0.62,0.25,10.17,2.54,0.25,2.90,0.67,0.00
-0.01,1.00,37.77,-0.28,0.00,0.12,0.00,0.50,1.50,0.69,0.25,13.07,3.27,0.25,7.09,1.63,0.00
0.00,1.00,47.00,0.00,0.00,0.12,0.00,0.50,1.50,0.69,0.25,6.49,1.62,0.25,3.54,0.82,0.00
0.00,0.99,59.08,0.00,0.09,0.15,0.01,0.50,7.44,3.43,0.25,6.04,1.51,0.25,7.44,1.71,0.00
0.25,0.98,69.57,16.04,0.00,0.15,0.00,0.50,12.44,5.73,0.25,2.43,0.61,0.25,12.44,2.87,0.00
0.06,0.73,65.12,3.90,0.03,0.15,0.00,0.50,10.44,4.81,0.25,2.44,0.61,0.25,10.44,2.41,0.00
0.00,0.65,60.36,0.00,0.01,0.15,0.00,0.50,5.13,2.36,0.25,2.46,0.61,0.25,5.13,1.18,0.00
0.00,0.65,58.39,0.00,0.01,0.15,0.00,0.50,6.52,3.00,0.25,2.45,0.61,0.25,6.52,1.50,0.00
0.00,0.64,55.65,0.00,0.01,0.15,0.00,0.50,4.73,2.18,0.25,3.85,0.96,0.25,5.74,1.32,0.00
0.00,0.63,52.74,0.00,0.00,0.15,0.00,0.50,4.00,1.84,0.25,2.88,0.72,0.25,4.21,0.97,0.00
0.00,0.63,51.30,0.00,0.00,0.15,0.00,0.50,2.91,1.34,0.25,5.87,1.47,0.25,4.21,0.97,0.00
-0.01,0.62,43.59,-0.33,0.00,0.15,0.00,0.50,3.00,1.38,0.25,5.99,1.50,0.25,4.90,1.13,0.00
-0.02,0.62,41.83,-0.63,0.00,0.15,0.00,0.50,3.00,1.38,0.25,5.00,1.25,0.25,3.12,0.72,0.00
0.00,0.63,42.09,0.00,0.00,0.15,0.00,0.50,3.18,1.47,0.25,3.26,0.81,0.25,3.66,0.84,0.00
-0.01,0.62,41.76,-0.31,0.00,0.15,0.00,0.50,3.00,1.38,0.25,3.10,0.78,0.25,3.01,0.69,0.00
-0.02,0.62,41.72,-0.63,0.00,0.15,0.00,0.50,3.00,1.38,0.25,3.10,0.78,0.25,3.01,0.69,0.00
0.00,0.63,44.01,0.00,0.00,0.15,0.00,0.50,3.99,1.84,0.25,4.00,1.00,0.25,3.99,0.92,0.00
0.11,0.62,57.75,5.92,0.00,0.15,0.00,0.50,8.00,3.69,0.25,4.77,1.19,0.25,8.00,1.84,0.00
0.37,0.50,59.02,20.03,0.00,0.15,0.00,0.38,5.00,1.76,0.25,4.77,1.19,0.25,9.54,2.20,0.00
0.00,0.13,46.10,0.00,0.00,0.15,0.00,0.01,4.00,0.03,0.25,17.89,4.47,0.25,10.57,2.44,0.00
0.00,0.13,39.36,0.00,0.00,0.12,0.00,0.01,1.00,0.01,0.25,10.64,2.66,0.25,3.99,0.92,0.00
0.00,0.12,36.09,0.00,0.00,0.12,0.00,0.00,4.20,0.02,0.25,15.12,3.78,0.25,9.65,2.22,0.00
0.00,0.12,29.88,0.00,0.00,0.12,0.00,0.00,1.50,0.00,0.25,25.21,6.30,0.25,8.01,1.85,0.00
-0.21,0.12,25.87,-5.47,0.00,0.12,0.00,0.00,1.50,0.00,0.25,23.83,5.96,0.25,8.01,1.85,0.00
-0.75,0.31,23.30,-17.48,0.00,0.12,0.00,0.19,1.00,0.18,0.25,26.15,6.54,0.25,7.50,1.73,0.00
-0.01,1.00,25.68,-0.25,0.10,0.12,0.01,0.50,1.50,0.69,0.25,28.08,7.02,0.25,11.69,2.69,0.00
-0.01,1.00,40.29,-0.39,0.10,0.15,0.01,0.50,2.71,1.25,0.25,21.38,5.34,0.25,4.99,1.15,0.00
0.00,1.00,60.75,0.00,0.10,0.15,0.01,0.50,7.01,3.23,0.25,3.05,0.76,0.25,7.01,1.62,0.00
0.14,0.99,73.67,9.48,0.09,0.20,0.02,0.50,12.66,5.84,0.25,10.00,2.50,0.25,12.66,2.92,0.00
0.19,0.84,73.94,13.24,0.06,0.20,0.01,0.50,13.04,6.01,0.25,3.07,0.77,0.25,13.04,3.01,0.00
0.00,0.64,64.98,0.00,0.01,0.20,0.00,0.50,4.21,1.94,0.25,10.00,2.50,0.25,4.21,0.97,0.00
0.00,0.63,62.49,0.00,0.00,0.15,0.00,0.50,6.44,2.97,0.25,8.12,2.03,0.25,6.44,1.48,0.00
0.00,0.63,58.01,0.00,0.00,0.15,0.00,0.50,2.83,1.30,0.25,4.00,1.00,0.25,2.83,0.65,0.00
