BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,NQRCapacity,NQRPrice_USDperMW,NQRRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,PQRCapacity,PQRPrice_USDperMW,PQRRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
0.00,1.00,80.52,0.00,0.00,-5.80,-0.00,0.00,0.00,0.00,0.31,0.72,0.20,0.05,-0.07,-0.00,0.04,3.67,0.15,0.28,1.30,0.36,0.05,9.00,0.46,0.00,0.00,0.00,0.00,110.25,110.25,0.00
0.00,1.00,75.00,0.00,0.00,-6.48,-0.00,0.00,0.00,0.00,0.27,0.70,0.17,0.00,-0.65,-0.00,0.04,2.65,0.11,0.24,1.07,0.26,0.06,8.48,0.50,0.00,0.00,0.00,0.00,110.25,110.25,0.00
0.00,1.00,75.61,0.00,0.00,-6.48,-0.00,0.00,0.00,0.00,0.27,0.70,0.17,0.00,-0.65,-0.00,0.04,2.65,0.11,0.24,1.07,0.26,0.06,8.48,0.50,0.00,0.00,0.00,0.00,102.75,102.75,0.00
0.00,1.00,83.80,0.00,0.00,-6.48,-0.00,0.00,0.00,0.00,0.27,0.70,0.17,0.00,-0.65,-0.00,0.04,2.65,0.11,0.24,1.07,0.26,0.06,8.48,0.50,0.00,0.00,0.00,0.00,102.50,102.50,0.00
0.00,1.00,69.62,0.00,0.00,-6.48,-0.00,0.00,0.00,0.00,0.27,0.70,0.17,0.00,-0.65,-0.00,0.04,2.65,0.11,0.24,1.07,0.26,0.06,8.48,0.50,0.00,0.00,0.00,0.00,41.04,41.04,0.00
0.00,1.00,71.76,0.00,0.00,-6.99,-0.00,0.00,0.00,0.00,0.27,1.04,0.25,0.04,0.54,0.02,0.04,4.88,0.20,0.27,3.01,0.80,0.05,11.50,0.59,0.00,0.00,0.00,0.00,41.30,41.30,0.00
0.27,1.00,93.47,23.25,0.00,-6.99,-0.00,0.00,0.00,0.00,0.27,1.04,0.25,0.04,0.54,0.02,0.04,4.88,0.20,0.27,3.01,0.80,0.05,11.50,0.59,0.00,0.00,0.00,1.00,73.77,73.77,1.59
0.73,0.87,94.93,64.15,0.00,-6.99,-0.00,0.00,0.00,0.00,0.27,1.04,0.25,0.00,0.54,0.00,0.04,4.88,0.20,0.27,3.01,0.80,0.05,11.50,0.59,0.00,0.00,0.00,1.00,74.50,74.50,4.49
0.00,0.50,84.95,0.00,0.00,-6.99,-0.00,0.00,0.00,0.00,0.27,1.04,0.25,0.04,0.54,0.02,0.04,4.88,0.20,0.27,3.01,0.80,0.05,11.50,0.59,0.00,0.00,0.00,0.00,105.00,105.00,0.00
0.00,0.50,82.27,0.00,0.00,-7.20,-0.00,0.00,0.00,0.00,0.30,0.23,0.06,0.00,-1.09,-0.00,0.04,4.13,0.17,0.27,1.29,0.35,0.04,8.67,0.37,0.00,0.00,0.00,0.00,75.00,75.00,0.00
0.00,0.50,75.30,0.00,0.00,-7.20,-0.00,0.00,0.00,0.00,0.30,0.23,0.06,0.00,-1.09,-0.00,0.04,4.13,0.17,0.27,1.29,0.35,0.04,8.67,0.37,0.00,0.00,0.00,0.00,45.08,45.08,0.00
0.00,0.50,72.02,0.00,0.00,-7.20,-0.00,0.00,0.00,0.00,0.30,0.23,0.06,0.00,-1.09,-0.00,0.04,4.13,0.17,0.27,1.29,0.35,0.04,8.67,0.37,0.00,0.00,0.00,0.00,77.25,77.25,0.00
0.00,0.50,65.04,0.00,0.00,-7.20,-0.00,0.00,0.00,0.00,0.30,0.23,0.06,0.00,-1.09,-0.00,0.04,4.13,0.17,0.27,1.29,0.35,0.04,8.67,0.37,0.00,0.00,0.00,0.00,99.99,99.99,0.00
0.00,0.50,69.92,0.00,0.00,-6.62,-0.00,0.00,0.00,0.00,0.35,1.22,0.39,0.00,-1.04,-0.00,0.04,4.23,0.18,0.26,0.88,0.23,0.06,8.63,0.49,0.00,0.00,0.00,0.00,99.00,99.00,0.00
0.45,0.50,73.57,30.64,0.00,-6.62,-0.00,0.00,0.00,0.00,0.35,1.22,0.39,0.00,-1.04,-0.00,0.04,4.23,0.18,0.26,0.88,0.23,0.06,8.63,0.49,0.00,0.00,0.00,0.00,41.87,41.87,4.30
0.00,0.27,67.55,0.00,0.00,-6.62,-0.00,0.00,0.00,0.00,0.35,1.22,0.39,0.00,-1.04,-0.00,0.04,4.23,0.18,0.26,0.88,0.23,0.06,8.63,0.49,0.00,0.00,0.00,0.00,30.42,30.42,0.00
0.00,0.27,63.20,0.00,0.00,-6.62,-0.00,0.00,0.00,0.00,0.35,1.22,0.39,0.00,-1.04,-0.00,0.04,4.23,0.18,0.26,0.88,0.23,0.06,8.63,0.49,0.00,0.00,0.00,0.00,23.58,23.58,0.00
-0.68,0.27,58.96,-40.09,0.00,-6.72,-0.00,0.00,0.00,0.00,0.35,1.16,0.37,0.00,-0.89,-0.00,0.04,2.89,0.12,0.22,0.62,0.14,0.06,8.72,0.50,0.00,0.00,0.00,0.00,27.79,27.79,6.36
-0.90,0.59,57.80,-51.92,0.00,-6.72,-0.00,0.00,0.00,0.00,0.35,1.16,0.37,0.00,-0.89,-0.00,0.04,2.89,0.12,0.00,0.62,0.00,0.06,8.72,0.50,0.00,0.00,0.00,0.00,46.01,46.01,3.18
0.00,1.00,61.61,0.00,0.00,-6.72,-0.00,0.00,0.00,0.00,0.35,1.16,0.37,0.00,-0.89,-0.00,0.04,2.89,0.12,0.27,0.62,0.17,0.06,8.72,0.50,0.00,0.00,0.00,0.00,57.77,57.77,0.00
0.00,1.00,73.56,0.00,0.00,-6.72,-0.00,0.00,0.00,0.00,0.35,1.16,0.37,0.00,-0.89,-0.00,0.04,2.89,0.12,0.27,0.62,0.17,0.06,8.72,0.50,0.00,0.00,0.00,0.00,30.12,30.12,0.00
0.00,1.00,74.37,0.08,0.00,-8.58,-0.00,0.00,0.00,0.00,0.30,0.86,0.23,0.00,-0.55,-0.00,0.04,4.32,0.18,0.27,1.22,0.33,0.06,10.58,0.61,0.00,0.00,0.00,0.00,40.00,40.00,0.01
0.00,1.00,79.49,0.09,0.00,-8.58,-0.00,0.00,0.00,0.00,0.30,0.86,0.23,0.00,-0.55,-0.00,0.04,4.32,0.18,0.27,1.22,0.33,0.06,10.58,0.61,0.00,0.00,0.00,0.00,69.50,69.50,0.00
0.01,1.00,80.92,0.42,0.00,-8.58,-0.00,0.00,0.00,0.00,0.30,0.86,0.23,0.00,-0.55,-0.00,0.04,4.32,0.18,0.27,1.22,0.33,0.06,10.58,0.61,0.00,0.00,0.00,0.00,41.97,41.97,0.07
0.00,1.00,77.13,0.00,0.00,-8.58,-0.00,0.00,0.00,0.00,0.30,0.86,0.23,0.00,-0.55,-0.00,0.04,4.32,0.18,0.27,1.22,0.33,0.06,10.58,0.61,0.00,0.00,0.00,0.00,69.48,69.48,0.00
0.00,1.00,77.34,0.00,0.00,-8.18,-0.00,0.00,0.00,0.00,0.26,0.92,0.22,0.00,-1.61,-0.00,0.04,3.61,0.15,0.24,1.24,0.29,0.07,10.00,0.74,0.00,0.00,0.00,0.00,95.89,95.89,0.00
0.00,1.00,78.92,0.00,0.00,-8.18,-0.00,0.00,0.00,0.00,0.26,0.92,0.22,0.00,-1.61,-0.00,0.04,3.61,0.15,0.24,1.24,0.29,0.07,10.00,0.74,0.00,0.00,0.00,0.00,103.12,103.12,0.00
0.00,1.00,84.00,0.12,0.00,-8.18,-0.00,0.00,0.00,0.00,0.26,0.92,0.22,0.00,-1.61,-0.00,0.04,3.61,0.15,0.24,1.24,0.29,0.07,10.00,0.74,0.00,0.00,0.00,0.00,121.22,121.22,0.02
0.00,1.00,88.59,0.13,0.00,-8.18,-0.00,0.00,0.00,0.00,0.26,0.92,0.22,0.00,-1.61,-0.00,0.04,3.61,0.15,0.24,1.24,0.29,0.07,10.00,0.74,0.00,0.00,0.00,0.00,98.00,98.00,0.00
0.00,1.00,91.84,0.10,0.00,-9.32,-0.00,0.00,0.00,0.00,0.25,1.25,0.29,0.03,-0.83,-0.02,0.04,5.82,0.24,0.26,3.28,0.84,0.06,13.84,0.80,0.00,0.00,0.00,1.00,100.67,100.67,0.00
0.72,1.00,106.76,70.32,0.00,-9.32,-0.00,0.00,0.00,0.00,0.25,1.25,0.29,0.03,-0.83,-0.02,0.04,5.82,0.24,0.26,3.28,0.84,0.06,13.84,0.80,0.00,0.00,0.00,1.00,90.50,90.50,3.49
1.00,0.64,111.86,102.85,0.00,-9.32,-0.00,0.00,0.00,0.00,0.00,1.25,0.00,0.00,-0.83,-0.00,0.04,5.82,0.24,0.26,3.28,0.84,0.06,13.84,0.80,0.00,0.00,0.00,0.00,93.78,93.78,5.41
0.09,0.15,106.41,9.13,0.00,-9.32,-0.00,0.00,0.00,0.00,0.25,1.25,0.29,0.00,-0.83,-0.00,0.04,5.82,0.24,0.26,3.28,0.84,0.06,13.84,0.80,0.00,0.00,0.00,0.00,55.20,55.20,1.43
0.00,0.10,98.47,0.15,0.00,-7.88,-0.00,0.00,0.00,0.00,0.27,0.07,0.02,0.00,-1.62,-0.00,0.04,4.84,0.20,0.26,1.25,0.32,0.07,11.18,0.78,0.00,0.00,0.00,0.00,123.00,123.00,0.01
0.00,0.10,85.94,0.00,0.00,-7.88,-0.00,0.00,0.00,0.00,0.27,0.07,0.02,0.00,-1.62,-0.00,0.04,4.84,0.20,0.26,1.25,0.32,0.07,11.18,0.78,0.00,0.00,0.00,0.00,81.04,81.04,0.00
0.00,0.10,81.58,0.00,0.00,-7.88,-0.00,0.00,0.00,0.00,0.27,0.07,0.02,0.00,-1.62,-0.00,0.04,4.84,0.20,0.26,1.25,0.32,0.07,11.18,0.78,0.00,0.00,0.00,0.00,80.80,80.80,0.00
